eu_id,block_id,plot_id,subplot_id,till_id,rot_id,straw_id,cctrt_id
30502,b1,p05,p05_sp02,noninversion,R4,retained,mix_E
30503,b1,p05,p05_sp03,noninversion,R4,retained,rad_M
30504,b1,p05,p05_sp04,noninversion,R4,retained,rad_L
30505,b1,p05,p05_sp05,noninversion,R4,retained,mix_M
30506,b1,p05,p05_sp06,noninversion,R4,retained,nocc
30602,b1,p06,p06_sp02,inversion,R4,retained,mix_E
30603,b1,p06,p06_sp03,inversion,R4,retained,rad_M
30604,b1,p06,p06_sp04,inversion,R4,retained,rad_L
30605,b1,p06,p06_sp05,inversion,R4,retained,mix_M
30606,b1,p06,p06_sp06,inversion,R4,retained,nocc
30802,b1,p08,p08_sp02,notill,R4,retained,mix_E
30803,b1,p08,p08_sp03,notill,R4,retained,rad_M
30804,b1,p08,p08_sp04,notill,R4,retained,rad_L
30805,b1,p08,p08_sp05,notill,R4,retained,mix_M
30806,b1,p08,p08_sp06,notill,R4,retained,nocc
31402,b1,p14,p14_sp02,noninversion,R3,removed,mix_E
31403,b1,p14,p14_sp03,noninversion,R3,removed,rad_M
31404,b1,p14,p14_sp04,noninversion,R3,removed,rad_L
31405,b1,p14,p14_sp05,noninversion,R3,removed,mix_M
31406,b1,p14,p14_sp06,noninversion,R3,removed,nocc
31502,b1,p15,p15_sp02,notill,R3,removed,mix_E
31503,b1,p15,p15_sp03,notill,R3,removed,rad_M
31504,b1,p15,p15_sp04,notill,R3,removed,rad_L
31505,b1,p15,p15_sp05,notill,R3,removed,mix_M
31506,b1,p15,p15_sp06,notill,R3,removed,nocc
31602,b1,p16,p16_sp02,inversion,R3,removed,mix_E
31603,b1,p16,p16_sp03,inversion,R3,removed,rad_M
31604,b1,p16,p16_sp04,inversion,R3,removed,rad_L
31605,b1,p16,p16_sp05,inversion,R3,removed,mix_M
31606,b1,p16,p16_sp06,inversion,R3,removed,nocc
31801,b2,p18,p18_sp01,inversion,R3,removed,rad_M
31802,b2,p18,p18_sp02,inversion,R3,removed,mix_E
31803,b2,p18,p18_sp03,inversion,R3,removed,nocc
31805,b2,p18,p18_sp05,inversion,R3,removed,mix_M
31806,b2,p18,p18_sp06,inversion,R3,removed,rad_L
31901,b2,p19,p19_sp01,noninversion,R3,removed,rad_M
31902,b2,p19,p19_sp02,noninversion,R3,removed,mix_E
31903,b2,p19,p19_sp03,noninversion,R3,removed,nocc
31905,b2,p19,p19_sp05,noninversion,R3,removed,mix_M
31906,b2,p19,p19_sp06,noninversion,R3,removed,rad_L
32001,b2,p20,p20_sp01,notill,R3,removed,rad_M
32002,b2,p20,p20_sp02,notill,R3,removed,mix_E
32003,b2,p20,p20_sp03,notill,R3,removed,nocc
32005,b2,p20,p20_sp05,notill,R3,removed,mix_M
32006,b2,p20,p20_sp06,notill,R3,removed,rad_L
32601,b2,p26,p26_sp01,notill,R4,retained,rad_M
32602,b2,p26,p26_sp02,notill,R4,retained,mix_E
32603,b2,p26,p26_sp03,notill,R4,retained,nocc
32605,b2,p26,p26_sp05,notill,R4,retained,mix_M
32606,b2,p26,p26_sp06,notill,R4,retained,rad_L
32701,b2,p27,p27_sp01,noninversion,R4,retained,rad_M
32702,b2,p27,p27_sp02,noninversion,R4,retained,mix_E
32703,b2,p27,p27_sp03,noninversion,R4,retained,nocc
32705,b2,p27,p27_sp05,noninversion,R4,retained,mix_M
32706,b2,p27,p27_sp06,noninversion,R4,retained,rad_L
32801,b2,p28,p28_sp01,inversion,R4,retained,rad_M
32802,b2,p28,p28_sp02,inversion,R4,retained,mix_E
32803,b2,p28,p28_sp03,inversion,R4,retained,nocc
32805,b2,p28,p28_sp05,inversion,R4,retained,mix_M
32806,b2,p28,p28_sp06,inversion,R4,retained,rad_L
34101,b3,p41,p41_sp01,inversion,R3,removed,nocc
34102,b3,p41,p41_sp02,inversion,R3,removed,mix_E
34103,b3,p41,p41_sp03,inversion,R3,removed,rad_M
34104,b3,p41,p41_sp04,inversion,R3,removed,rad_L
34105,b3,p41,p41_sp05,inversion,R3,removed,mix_M
34301,b3,p43,p43_sp01,notill,R3,removed,nocc
34302,b3,p43,p43_sp02,notill,R3,removed,mix_E
34303,b3,p43,p43_sp03,notill,R3,removed,rad_M
34304,b3,p43,p43_sp04,notill,R3,removed,rad_L
34305,b3,p43,p43_sp05,notill,R3,removed,mix_M
34401,b3,p44,p44_sp01,noninversion,R3,removed,nocc
34402,b3,p44,p44_sp02,noninversion,R3,removed,mix_E
34403,b3,p44,p44_sp03,noninversion,R3,removed,rad_M
34404,b3,p44,p44_sp04,noninversion,R3,removed,rad_L
34405,b3,p44,p44_sp05,noninversion,R3,removed,mix_M
34602,b3,p46,p46_sp02,notill,R4,retained,mix_E
34603,b3,p46,p46_sp03,notill,R4,retained,rad_M
34604,b3,p46,p46_sp04,notill,R4,retained,rad_L
34605,b3,p46,p46_sp05,notill,R4,retained,mix_M
34606,b3,p46,p46_sp06,notill,R4,retained,nocc
34702,b3,p47,p47_sp02,noninversion,R4,retained,mix_E
34703,b3,p47,p47_sp03,noninversion,R4,retained,rad_M
34704,b3,p47,p47_sp04,noninversion,R4,retained,rad_L
34705,b3,p47,p47_sp05,noninversion,R4,retained,mix_M
34706,b3,p47,p47_sp06,noninversion,R4,retained,nocc
34802,b3,p48,p48_sp02,inversion,R4,retained,mix_E
34803,b3,p48,p48_sp03,inversion,R4,retained,rad_M
34804,b3,p48,p48_sp04,inversion,R4,retained,rad_L
34805,b3,p48,p48_sp05,inversion,R4,retained,mix_M
34806,b3,p48,p48_sp06,inversion,R4,retained,nocc
34901,b4,p49,p49_sp01,notill,R4,retained,rad_M
34902,b4,p49,p49_sp02,notill,R4,retained,mix_E
34903,b4,p49,p49_sp03,notill,R4,retained,nocc
34905,b4,p49,p49_sp05,notill,R4,retained,mix_M
34906,b4,p49,p49_sp06,notill,R4,retained,rad_L
35101,b4,p51,p51_sp01,inversion,R4,retained,rad_M
35102,b4,p51,p51_sp02,inversion,R4,retained,mix_E
35103,b4,p51,p51_sp03,inversion,R4,retained,nocc
35105,b4,p51,p51_sp05,inversion,R4,retained,mix_M
35106,b4,p51,p51_sp06,inversion,R4,retained,rad_L
35201,b4,p52,p52_sp01,noninversion,R4,retained,rad_M
35202,b4,p52,p52_sp02,noninversion,R4,retained,mix_E
35203,b4,p52,p52_sp03,noninversion,R4,retained,nocc
35205,b4,p52,p52_sp05,noninversion,R4,retained,mix_M
35206,b4,p52,p52_sp06,noninversion,R4,retained,rad_L
35301,b4,p53,p53_sp01,notill,R3,removed,rad_M
